列车号,服务号,车站,到达,出发,,车站名称,列车编号,
G433,32,1,62845,62865,,苹果园,T31,
G433,32,2,63065,63095,,古城,T31,
G433,32,3,63245,63275,,八角游乐园,T31,
G433,32,4,63425,63450,,八宝山,T31,
G433,32,5,63570,63605,,玉泉路,T31,
G433,32,6,63745,63785,,五棵松,T31,
G433,32,7,63920,63955,,万寿路,T31,
G433,32,8,64065,64110,,公主坟,T31,
G433,32,9,64210,64260,,军事博物馆,T31,
G433,32,10,64360,64390,,木樨地,T31,
G433,32,11,64510,64537,,南礼士路,T31,
G433,32,12,64617,64667,,复兴门,T31,
G433,32,13,64787,64831,,西单,T31,
G433,32,14,64936,64962,,天安门西,T31,
G433,32,15,65052,65080,,天安门东,T31,
G433,32,16,65170,65200,,王府井,T31,
G433,32,17,65285,65330,,东单,T31,
G433,32,18,65440,65485,,建国门,T31,
G433,32,19,65605,65635,,永安里,T31,
G433,32,20,65720,65765,,国贸,T31,
G433,32,21,65885,65930,,大望路,T31,
G433,32,22,66073,66103,,四惠,T31,
G433,32,23,66223,66223,,四惠东,T31,
G433,34,1,63445,63465,,苹果园,T33,
G433,34,2,63665,63695,,古城,T33,
G433,34,3,63845,63875,,八角游乐园,T33,
G433,34,4,64025,64050,,八宝山,T33,
G433,34,5,64170,64205,,玉泉路,T33,
G433,34,6,64345,64385,,五棵松,T33,
G433,34,7,64520,64555,,万寿路,T33,
G433,34,8,64665,64710,,公主坟,T33,
G433,34,9,64810,64860,,军事博物馆,T33,
G433,34,10,64960,64990,,木樨地,T33,
G433,34,11,65110,65137,,南礼士路,T33,
G433,34,12,65217,65267,,复兴门,T33,
G433,34,13,65387,65431,,西单,T33,
G433,34,14,65536,65562,,天安门西,T33,
G433,34,15,65652,65680,,天安门东,T33,
G433,34,16,65770,65800,,王府井,T33,
G433,34,17,65885,65930,,东单,T33,
G433,34,18,66040,66085,,建国门,T33,
G433,34,19,66205,66235,,永安里,T33,
G433,34,20,66320,66365,,国贸,T33,
G433,34,21,66485,66530,,大望路,T33,
G433,34,22,66673,66703,,四惠,T33,
G433,34,23,66823,66823,,四惠东,T33,
G433,32,1,63825,63845,,苹果园,T35,
G433,32,2,64045,64075,,古城,T35,
G433,32,3,64225,64255,,八角游乐园,T35,
G433,32,4,64405,64430,,八宝山,T35,
G433,32,5,64550,64585,,玉泉路,T35,
G433,32,6,64725,64765,,五棵松,T35,
G433,32,7,64900,64935,,万寿路,T35,
G433,32,8,65045,65090,,公主坟,T35,
G433,32,9,65190,65240,,军事博物馆,T35,
G433,32,10,65340,65370,,木樨地,T35,
G433,32,11,65490,65517,,南礼士路,T35,
G433,32,12,65597,65647,,复兴门,T35,
G433,32,13,65767,65811,,西单,T35,
G433,32,14,65916,65942,,天安门西,T35,
G433,32,15,66032,66060,,天安门东,T35,
G433,32,16,66150,66180,,王府井,T35,
G433,32,17,66265,66310,,东单,T35,
G433,32,18,66420,66465,,建国门,T35,
G433,32,19,66585,66615,,永安里,T35,
G433,32,20,66700,66745,,国贸,T35,
G433,32,21,66865,66910,,大望路,T35,
G433,32,22,67053,67083,,四惠,T35,
G433,32,23,67203,67203,,四惠东,T35,
G433,34,1,64425,64445,,苹果园,T37,
G433,34,2,64645,64675,,古城,T37,
G433,34,3,64825,64855,,八角游乐园,T37,
G433,34,4,65005,65030,,八宝山,T37,
G433,34,5,65150,65185,,玉泉路,T37,
G433,34,6,65325,65365,,五棵松,T37,
G433,34,7,65500,65535,,万寿路,T37,
G433,34,8,65645,65690,,公主坟,T37,
G433,34,9,65790,65840,,军事博物馆,T37,
G433,34,10,65940,65970,,木樨地,T37,
G433,34,11,66090,66117,,南礼士路,T37,
G433,34,12,66197,66247,,复兴门,T37,
G433,34,13,66367,66411,,西单,T37,
G433,34,14,66516,66542,,天安门西,T37,
G433,34,15,66632,66660,,天安门东,T37,
G433,34,16,66750,66780,,王府井,T37,
G433,34,17,66865,66910,,东单,T37,
G433,34,18,67020,67065,,建国门,T37,
G433,34,19,67185,67215,,永安里,T37,
G433,34,20,67300,67345,,国贸,T37,
G433,34,21,67465,67510,,大望路,T37,
